"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"2","620","110.83","calcite","-6.14",NA,"-9.53212684067041",NA,"5.88496968543631","383.771377657758","-9.0701474488084","-9.69390136771578","326.521664698805"
"2","620","121.67","calcite","-6.37",NA,"-9.79038626525765",NA,"5.78580027070537","350.60288861506","-9.60991012323364","-9.37038924521001","301.884062447899"
"2","620","132.5","calcite","-7.09",NA,"-10.6676713191964",NA,"5.15429066822309","333.255508794586","-9.41366347934357","-8.54398530847111","273.452907011888"
"2","620","143.33","calcite","-7.41",NA,"-10.7092461585834",NA,"6.50626273237541","357.286911409834","-9.56723105430362","-8.92184592946994","282.171277841757"
"2","620","154.17","calcite","-7.79",NA,"-11.1170096596695",NA,"6.43082680478641","368.790142935525","-14.5718354405096","-8.86942586333311","300.25724879014"
"2","620","165","calcite","-7.86",NA,"-11.1827470836844",NA,"6.46109716747505","378.947438894739","-9.83279813679547","-9.41652447029221","303.089687425249"
"2","620","175.83","calcite","-7.93",NA,"-11.2087309120341",NA,"6.67879558409516","408.447648652495","-9.61964716501902","-9.04735965104457","322.925650588227"
"2","620","186.67","calcite","-7.75",NA,"-11.040392847692",NA,"6.59754415613845","377.234058908045","-9.52460642924794","-8.72867236263478","312.771488585295"
"2","620","197.5","calcite","-7.08",NA,"-10.4227323425615",NA,"6.2535092072345","394.534527394833","-9.29185716308237","-9.24712500706235","318.379173801504"
"2","620","208.33","calcite","-7.11",NA,"-10.3950811373128",NA,"6.52930132583292","361.030617539992","-9.26943627568257","-9.05593400599828","299.899381908676"
"2","620","219.17","calcite","-7.45",NA,"-10.840596328438",NA,"6.08229911272002","383.287838604904","-15.2247438050513","-9.25545540804132","296.902603564886"
"2","620","230","calcite","-7.52",NA,"-10.9013053970764",NA,"6.13612259891903","375.251401770351","-14.4697646591354","-9.03799020335449","312.048268102871"
"2","620","240.83","calcite","-8.06",NA,"-11.5082604523551",NA,"5.90013555437218","374.10047054039","-9.12064966435099","-8.75554970118269","316.851780549404"
"2","620","251.67","calcite","-8.37",NA,"-12.0563987214538",NA,"4.83197854201429","351.812150888096","-9.72663551801107","-9.07107549526906","277.019082542803"
"2","620","262.5","calcite","-8.33",NA,"-11.7921400907179",NA,"5.87418804819218","350.80888767904","-19.5654129341525","-9.92993290298499","285.146302077276"
"2","620","273.33","calcite","-8.87",NA,"-12.3438787661663",NA,"5.89744680498541","375.955521150079","-9.66206049455991","-8.88539075201252","302.572945518471"
"2","620","284.17","calcite","-9.23",NA,"-12.6727635544174",NA,"6.09578377040988","372.522110573212","-9.7155929138442","-9.11949946345","295.245354847321"
"2","620","295","calcite","-8.83",NA,"-12.3091614803782",NA,"5.86686431077871","371.659125837353","-9.27621499648981","-8.9337737498197","298.163624364955"
"2","620","406.21","calcite","-7.83",NA,"-11.264116400055",NA,"5.93313235103765","373.058796664802","-10.5766608108118","-9.06099313055917","299.828552342106"
"2","620","412.42","calcite","-7.73",NA,"-11.043606297446",NA,"6.48522209433662","371.154738262195","-9.16137484816702","-8.38081301431151","302.352783853281"
"2","620","418.64","calcite","-7.54",NA,"-10.9944485447",NA,"5.79571093702138","388.765192079024","-19.9851752542976","-9.21969302898315","314.373427590732"
"2","620","424.85","calcite","-7.54",NA,"-11.0046715862984",NA,"5.74779344786585","355.861915529961","-9.53273527258803","-9.22699442347249","289.548885797135"
"2","620","431.06","calcite","-7.37",NA,"-10.7292907824171",NA,"6.21780717223942","395.579721322804","-9.68458691605852","-9.43686266605384","309.890486359913"
"2","620","437.27","calcite","-7.41",NA,"-10.8064270185424",NA,"6.04910247965885","350.813632274049","-9.0485972046859","-8.77828643209205","315.588690762475"
"2","620","443.48","calcite","-7.4",NA,"-10.8639287234607",NA,"5.73098932599515","321.886198956875","-9.95101106414677","-8.74326474834716","224.124464752967"
